City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,lorengau,PG,84.83,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
423,vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
424,butaritari,KI,80.47,moderate rain,3.0707,172.7902,Isles Sunset Lodge
429,kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
431,labuhan,ID,82.26,broken clouds,-6.8844,112.2051,DoubleFAG
438,kapoeta,SS,83.43,overcast clouds,4.7717,33.5903,Eastgate Hotel
440,kirakira,SB,84.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
444,yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
450,makakilo city,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
462,mareeba,AU,85.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
463,pochutla,MX,82.22,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
464,galesong,ID,84.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
475,georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
484,alofi,NU,81.72,broken clouds,-19.0595,-169.9187,Taloa Heights
503,tual,ID,84.07,broken clouds,-5.6667,132.75,Grand Vilia Hotel
512,lorengau,PG,84.83,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
516,vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
517,butaritari,KI,80.47,moderate rain,3.0707,172.7902,Isles Sunset Lodge
522,kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
524,labuhan,ID,82.26,broken clouds,-6.8844,112.2051,DoubleFAG
531,kapoeta,SS,83.43,overcast clouds,4.7717,33.5903,Eastgate Hotel
533,kirakira,SB,84.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
537,yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
543,makakilo city,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
555,mareeba,AU,85.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
556,pochutla,MX,82.22,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
557,galesong,ID,84.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
568,georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
577,alofi,NU,81.72,broken clouds,-19.0595,-169.9187,Taloa Heights
596,tual,ID,84.07,broken clouds,-5.6667,132.75,Grand Vilia Hotel
611,vila velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
612,padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
616,bamnet narong,TH,86.95,broken clouds,15.4992,101.6897,Jong Jaroen Resort
629,qandala,SO,81.73,overcast clouds,11.472,49.8728,
639,bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
641,kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
642,bengkulu,ID,82.74,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
643,kerema,PG,83.37,overcast clouds,-7.9631,145.7785,Frena Lodge
645,puerto colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
649,avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
