City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,,RU,71.6872,128.8694,-7.31,94,70,7.16,
1,,CL,-53.15,-70.9167,46.51,87,75,16.11,
2,,AU,-33.65,115.3333,64.26,73,76,15.46,
3,,PG,-2.0226,147.2712,84.83,72,80,9.31,
4,,CL,-37.6167,-73.65,50.22,82,21,3.2,
5,,AU,-28.7667,114.6,66.61,72,75,13.8,
6,,BR,-3.1019,-60.025,77.49,88,0,3.44,
7,,TO,-21.2,-175.2,84.36,74,20,8.05,
8,,KI,3.0707,172.7902,80.47,81,98,13.09,
9,,ES,43.6702,-7.4101,52.09,78,100,4.45,
10,,RE,-21.3585,55.7679,76.59,85,57,12.15,
11,,PF,-9.8,-139.0333,79.47,72,6,19.15,
12,,RU,50.6789,156.125,31.23,75,100,7.38,
13,,PW,7.0419,134.2556,82.9,79,100,19.55,
14,,RU,69.7008,170.3133,-8.1,85,14,3.49,
15,,ID,-6.8844,112.2051,82.26,76,66,6.49,
16,,TL,-8.9266,125.4092,74.28,40,100,3.15,
17,,MU,-20.4081,57.7,75.49,94,75,11.5,
18,,PE,-7.8447,-79.1469,64.94,77,100,5.86,
19,,ZA,-33.918,25.5701,66.09,95,75,11.5,
20,,AR,-54.8,-68.3,47.86,71,75,16.11,
21,,US,42.6001,-73.9662,42.06,88,14,5.95,
22,,SS,4.7717,33.5903,83.43,38,86,15.86,
23,,US,40.5982,-124.1573,51.66,70,0,24.16,
24,,SB,-10.4544,161.9205,84.7,70,91,8.19,
25,,CG,1.6481,14.5806,70.99,97,100,1.88,
26,,RU,67.4667,78.7,-12.26,99,88,5.1,
27,,ZA,-33.5906,26.891,63.18,96,100,5.99,
28,,AU,-25.2406,130.9889,84.04,17,0,9.22,
29,,CA,45.6169,-61.3485,45.18,96,100,4.61,
30,,KE,-1.367,38.0106,62.04,97,65,3.67,
31,,AU,-42.7826,147.0587,77.67,40,99,5.01,
32,,GL,72.7868,-56.1549,-7.71,99,28,3.6,
33,,RU,73.5069,80.5464,8.65,96,97,6.55,
34,,US,21.3469,-158.0858,80.92,56,0,17.27,
35,,BR,-22.9661,-42.0278,75.97,90,97,9.1,
36,,US,44.7631,-85.6206,35.67,79,40,5.75,
37,,CO,1.1983,-70.1733,72.82,97,100,1.72,
38,,GL,65.6145,-37.6368,24.96,94,95,3.83,
39,,BB,13.0667,-59.5333,78.89,73,75,20.71,
40,,PF,-23.1203,-134.9692,78.84,73,7,17.52,
41,,GL,77.484,-69.3632,-2.27,87,100,5.41,
42,,US,64.8378,-147.7164,20.3,40,0,6.91,
43,,US,57.0531,-135.33,44.49,57,75,16.11,
44,,ZW,-20.3267,30.0665,59.81,97,100,7.47,
45,,ZA,-34.0033,24.7314,63.88,92,65,9.51,
46,,AU,-17.0,145.4333,89.44,62,37,6.29,
47,,MX,15.7432,-96.4661,77.25,67,40,4.92,
48,,ID,-5.3166,119.3661,84.22,72,42,2.13,
49,,RU,46.4856,135.8833,46.45,65,99,4.97,
50,,AU,-24.8667,113.6333,73.47,46,40,17.27,
51,,CA,66.1451,-65.7125,15.49,87,100,4.83,
52,,TH,14.7576,100.0899,90.86,37,100,7.31,
53,,ZA,-34.4187,19.2345,61.81,90,0,14.65,
54,,RU,55.0675,47.6111,35.96,100,100,4.07,
55,,IS,63.4427,-20.2734,39.13,77,100,29.77,
56,,PT,41.5388,-8.6151,57.34,91,100,4.38,
57,,CL,-35.3333,-72.4167,52.83,93,4,4.97,
58,,CA,69.4541,-133.0374,5.0,78,75,18.41,
59,,MY,5.4112,100.3354,84.13,83,20,7.0,
60,,FO,62.2266,-6.589,34.72,63,100,20.58,
61,,CA,62.456,-114.3525,25.32,63,40,23.02,
62,,RU,71.9167,114.0833,-0.4,89,19,2.42,
63,,US,32.944,-103.3485,76.05,9,2,4.0,
64,,US,38.8876,-76.5119,51.98,55,20,9.22,
65,,GB,51.3813,1.3862,42.69,77,65,5.08,
66,,BR,-8.7619,-63.9039,80.65,83,75,4.61,
67,,BO,-22.0866,-65.5942,51.75,68,3,12.73,
68,,NU,-19.0595,-169.9187,85.89,70,54,6.91,
69,,US,31.5545,-110.3037,75.67,11,0,14.97,
70,,BW,-20.4667,22.7167,64.44,80,31,8.72,
71,,US,28.017,-97.5169,74.53,57,82,20.24,
72,,NZ,-46.1927,168.8643,62.24,49,7,4.59,
73,,ZA,-33.9258,18.4232,62.11,74,0,9.22,
74,,BR,-24.7911,-50.0119,64.06,90,98,1.52,
75,,AU,-42.8794,147.3294,78.03,48,75,13.8,
76,,BR,-0.6136,-47.3561,75.99,91,100,3.87,
77,,CN,39.7432,98.5174,57.69,28,95,6.22,
78,,TZ,-1.2333,34.4333,63.9,65,97,10.6,
79,,AR,-43.3002,-65.1023,62.01,89,81,22.93,
80,,AR,-38.0023,-57.5575,66.09,95,75,21.0,
81,,US,57.79,-152.4072,42.31,33,0,12.66,
82,,ZA,-28.783,32.0377,66.24,86,100,1.28,
83,,US,42.3751,-70.9828,48.31,79,20,14.97,
84,,US,37.4636,-122.4286,69.55,68,0,25.32,
85,,KZ,51.1801,71.446,35.55,64,0,13.42,
86,,BR,-1.7656,-55.8661,75.27,96,74,2.89,
87,,ID,-5.6667,132.75,84.07,73,59,14.18,
88,,PT,38.5167,-28.7,56.37,70,62,34.49,
89,,US,39.4735,-118.7774,57.07,11,40,17.27,
90,,TM,41.8363,59.9666,58.95,67,83,6.91,
91,,ZA,-33.0117,17.9442,64.45,59,0,9.04,
92,,JP,35.7333,140.8333,77.29,64,0,5.19,
93,,RU,71.6872,128.8694,-7.31,94,70,7.16,
94,,CL,-53.15,-70.9167,46.51,87,75,16.11,
95,,AU,-33.65,115.3333,64.26,73,76,15.46,
96,,PG,-2.0226,147.2712,84.83,72,80,9.31,
97,,CL,-37.6167,-73.65,50.22,82,21,3.2,
98,,AU,-28.7667,114.6,66.61,72,75,13.8,
99,,BR,-3.1019,-60.025,77.49,88,0,3.44,
100,,TO,-21.2,-175.2,84.36,74,20,8.05,
101,,KI,3.0707,172.7902,80.47,81,98,13.09,
102,,ES,43.6702,-7.4101,52.09,78,100,4.45,
103,,RE,-21.3585,55.7679,76.59,85,57,12.15,
104,,PF,-9.8,-139.0333,79.47,72,6,19.15,
105,,RU,50.6789,156.125,31.23,75,100,7.38,
106,,PW,7.0419,134.2556,82.9,79,100,19.55,
107,,RU,69.7008,170.3133,-8.1,85,14,3.49,
108,,ID,-6.8844,112.2051,82.26,76,66,6.49,
109,,TL,-8.9266,125.4092,74.28,40,100,3.15,
110,,MU,-20.4081,57.7,75.49,94,75,11.5,
111,,PE,-7.8447,-79.1469,64.94,77,100,5.86,
112,,ZA,-33.918,25.5701,66.09,95,40,12.66,
113,,AR,-54.8,-68.3,47.86,71,75,16.11,
114,,US,42.6001,-73.9662,40.93,89,14,5.95,
115,,SS,4.7717,33.5903,83.43,38,86,15.86,
116,,US,40.5982,-124.1573,50.67,70,0,24.16,
117,,SB,-10.4544,161.9205,84.7,70,91,8.19,
118,,CG,1.6481,14.5806,70.99,97,100,1.88,
119,,RU,67.4667,78.7,-12.26,99,88,5.1,
120,,ZA,-33.5906,26.891,63.18,96,100,7.0,
121,,AU,-25.2406,130.9889,84.04,17,0,9.22,
122,,CA,45.6169,-61.3485,44.19,96,100,4.61,
123,,KE,-1.367,38.0106,62.04,97,65,3.67,
124,,AU,-42.7826,147.0587,78.3,38,99,5.01,
125,,GL,72.7868,-56.1549,-7.71,99,28,3.6,
126,,US,21.3469,-158.0858,76.69,70,94,13.78,
127,,BR,-22.9661,-42.0278,75.97,90,97,9.1,
128,,US,44.7631,-85.6206,34.84,89,72,1.01,
129,,CO,1.1983,-70.1733,72.82,97,100,1.72,
130,,GL,65.6145,-37.6368,15.98,94,95,3.83,
131,,BB,13.0667,-59.5333,78.89,73,75,20.71,
